X,Y,Z
5.80E-05,0.00E+00,0.00E+00
-5.09E-05,-1.00E-10,-1.00E-10
-5.09E-05,2.00E-10,1.00E-10
1.69E-05,-5.00E-10,0.00E+00
1.69E-05,5.00E-10,0.00E+00
4.88E-06,9.56E-05,1.00E-10
4.88E-06,-9.56E-05,0.00E+00
4.88E-06,-9.56E-05,-1.00E-10
4.88E-06,9.56E-05,0.00E+00
-4.08E-05,1.47E-05,0.00E+00
-4.08E-05,-1.47E-05,0.00E+00
-4.08E-05,-1.47E-05,0.00E+00
-4.08E-05,1.47E-05,0.00E+00
1.34E-05,-3.83E-05,0.00E+00
1.34E-05,3.83E-05,0.00E+00
1.34E-05,3.83E-05,0.00E+00
1.34E-05,-3.83E-05,0.00E+00
-5.57E-06,-2.10E-05,0.00E+00
-5.57E-06,2.10E-05,0.00E+00
-5.57E-06,2.10E-05,0.00E+00
-5.57E-06,-2.10E-05,0.00E+00
3.05E-05,-5.70E-05,-1.00E-10
3.05E-05,5.70E-05,0.00E+00
3.05E-05,5.70E-05,1.00E-10
3.05E-05,-5.70E-05,0.00E+00
-1.94E-06,5.68E-07,0.00E+00
-1.94E-06,-5.68E-07,0.00E+00
-1.94E-06,-5.68E-07,0.00E+00
-1.94E-06,5.68E-07,0.00E+00
4.22E-07,1.48E-06,0.00E+00
4.22E-07,-1.48E-06,0.00E+00
4.22E-07,-1.48E-06,0.00E+00
4.22E-07,1.48E-06,0.00E+00
1.72E-06,-1.47E-06,0.00E+00
1.72E-06,1.4717E-06,0.00E+00
1.72E-06,-1.47E-06,0.00E+00
1.72E-06,1.47E-06,0.00E+00
