X,Y,Z
0.00E+00,-1.00E-10,-4.59E-04
-4.00E-10,0,-1.91E-04
4.00E-10,0,-1.91E-04
0.00E+00,-3.50E-09,4.32E-04
0.00E+00,3.50E-09,4.32E-04
-1.00E-09,7.40E-09,7.56E-05
-1.10E-09,-7.40E-09,7.56E-05
1.00E-09,7.40E-09,7.56E-05
1.10E-09,-7.50E-09,7.56E-05
-1.55E-08,1.45E-08,-5.62E-05
1.55E-08,1.45E-08,-5.62E-05
-1.55E-08,-1.45E-08,-5.62E-05
1.55E-08,-1.45E-08,-5.62E-05
-1.00E-10,-9.00E-10,-1.02E-05
-1.00E-10,1.00E-09,-1.02E-05
1.00E-10,-1.00E-09,-1.02E-05
1.00E-10,1.00E-09,-1.02E-05
1.16E-08,-9.50E-09,-2.65E-05
-1.16E-08,-9.50E-09,-2.65E-05
1.16E-08,9.50E-09,-2.65E-05
-1.16E-08,9.50E-09,-2.65E-05
1.14E-08,-1.38E-08,2.77E-05
1.15E-08,1.38E-08,2.77E-05
-1.15E-08,-1.37E-08,2.77E-05
-1.15E-08,1.38E-08,2.77E-05
1.00E-10,0.00E+00,-8.40E-06
1.00E-10,0.00E+00,-8.40E-06
-1.00E-10,0.00E+00,-8.40E-06
-1.00E-10,0.00E+00,-8.40E-06
1.00E-10,-1.00E-10,-1.12E-05
-1.00E-10,-1.00E-10,-1.12E-05
1.00E-10,1.00E-10,-1.12E-05
-1.00E-10,1.00E-10,-1.12E-05
2.00E-10,0.00E+00,3.22E-06
-2.00E-10,0,3.22E-06
-2.00E-10,0.00E+00,3.22E-06
2.00E-10,0.00E+00,3.22E-06
