X,Y,Z
0.00E+00,1.00E-10,4.82E-04
3.00E-10,0,-6.97E-05
-4.00E-10,0,-6.97E-05
0.00E+00,3.60E-09,-1.95E-04
0.00E+00,-3.60E-09,-1.95E-04
9.00E-10,-7.40E-09,-3.06E-05
1.10E-09,7.30E-09,-3.06E-05
-1.00E-09,-7.30E-09,-3.06E-05
-1.00E-09,7.40E-09,-3.06E-05
1.54E-08,-1.44E-08,2.85E-05
-1.55E-08,-1.45E-08,2.85E-05
1.55E-08,1.45E-08,2.85E-05
-1.55E-08,1.45E-08,2.85E-05
2.00E-10,9.00E-10,9.71E-06
2E-10,-9.00E-10,9.71E-06
-2.00E-10,9.00E-10,9.71E-06
-2.00E-10,-9.00E-10,9.71E-06
-1.15E-08,9.40E-09,2.35E-05
1.15E-08,9.40E-09,2.35E-05
-1.15E-08,-9.50E-09,2.35E-05
1.15E-08,-9.50E-09,2.35E-05
-1.14E-08,1.37E-08,-2.85E-05
-1.14E-08,-1.37E-08,-2.85E-05
1.14E-08,1.37E-08,-2.85E-05
1.14E-08,-1.37E-08,-2.85E-05
-1E-10,0.00E+00,1.13E-05
-1E-10,0.00E+00,1.13E-05
1.00E-10,0.00E+00,1.13E-05
1.00E-10,0.00E+00,1.13E-05
-1.00E-10,1.00E-10,2.04E-06
1.00E-10,1.00E-10,2.04E-06
-1.00E-10,-1.00E-10,2.04E-06
1.00E-10,-1.00E-10,2.04E-06
-2.00E-10,0.00E+00,-3.94E-06
2.00E-10,0,-3.94E-06
2.00E-10,0.00E+00,-3.94E-06
-2.00E-10,0.00E+00,-3.94E-06
