X,Y,Z
-0.0002840994,-0.0002455506,-0.0000001322
-0.0002644495,-0.0002910948,0.0000214537
-0.0003318061,-0.0002942271,-0.0000218081
0.0002304067,0.0002504196,0.0677640371
0.0002384199,0.0002680161,-0.0677636656
0.0003901342,0.0003043988,0.0034192029
0.0002333742,0.0005152233,-0.0034089488
0.0002886302,0.0006437539,0.0034091255
0.0004434585,-0.0001432582,-0.0034193399
-0.0003019145,-0.0004529563,-0.0169593563
-0.0005388103,-0.0001971113,-0.0169498994
-0.0005552050,-0.0001242503,0.0169494134
-0.0001905453,-0.0004423039,0.0169593829
0.0002994096,-0.0004550781,0.0067553791
-0.0003288062,0.0004275856,-0.0067564111
-0.0002765794,0.0001425514,0.0067559356
0.0002891040,0.0000882040,-0.0067549466
0.0003290739,0.0002626136,0.0012607354
0.0003630133,0.0003277958,0.0012552428
0.0003907757,0.0002776622,-0.0012554768
0.0002340563,0.0003147211,-0.0012601901
-0.0001273948,-0.0001205999,-0.0077684130
-0.0000861007,-0.0004837448,0.0077722930
-0.0002087634,-0.0004504889,-0.0077718234
-0.0002058089,-0.0000961504,0.0077684002
-0.0000240764,-0.0000207899,-0.0014233059
-0.0000150263,-0.0000195477,0.0014200413
0.0000026682,-0.0000047164,-0.0014200223
-0.0000172024,0.0000111724,0.0014232967
0.0000084328,0.0000017371,0.0057216233
0.0000188402,0.0000119668,0.0057202134
0.0000142364,0.0000148507,-0.0057201448
0.0000081902,0.0000048154,-0.0057217446
-0.0000121737,-0.0000030315,0.0001237833
-0.0000014649,-0.0000146410,0.0001238571
-0.0000061986,0.0000061458,-0.0001238032
