X,Y,Z
0.0001252651,0.0001225766,0.0000001256
0.0000108681,0.0000115347,-0.0000227351
0.0000101752,0.0000098618,0.0000231293
-0.0000441915,-0.0000436850,-0.0685394738
-0.0000446608,-0.0000426626,0.0685392499
-0.0000007954,-0.0000024285,-0.0032865777
-0.0000033184,-0.0000013245,0.0032768454
-0.0000031750,-0.0000004633,-0.0032767979
-0.0000016396,-0.0000019383,0.0032863415
0.0000074217,-0.0000225818,0.0167366645
-0.0000215015,0.0000077239,0.0167324986
-0.0000217259,0.0000081269,-0.0167325944
0.0000077764,-0.0000220568,-0.0167366480
0.0000003208,-0.0000000917,-0.0064623805
0.0000002070,0.0000005614,0.0064630734
0.0000004828,0.0000003998,-0.0064629348
0.0000000631,-0.0000004203,0.0064622785
-0.0000070727,-0.0000046734,-0.0012437588
-0.0000046625,-0.0000069477,-0.0012472274
-0.0000047503,-0.0000069824,0.0012472647
-0.0000068821,-0.0000046413,0.0012435175
0.0000009399,0.0000014053,0.0077697113
0.0000022537,0.0000005041,-0.0077742423
0.0000019126,0.0000003419,0.0077740253
0.0000008274,0.0000013557,-0.0077695810
-0.0000001908,-0.0000000548,0.0013872644
-0.0000001199,-0.0000002067,-0.0013839341
-0.0000001056,-0.0000002488,0.0013838688
-0.0000001159,-0.0000000479,-0.0013871867
-0.0000003854,-0.0000016670,-0.0056797565
-0.0000016479,0.0000000642,-0.0056786219
-0.0000016444,-0.0000000889,0.0056785737
-0.0000001060,-0.0000015611,0.0056798999
-0.0000004165,0.0000004445,-0.0001216557
0.0000004191,-0.0000003540,-0.0001216728
-0.0000004054,0.0000004569,0.0001216498
