X,Y,Z
0.00E+00,-1.00E-10,-4.80E-04
-3.00E-10,0,1.63E-05
4.00E-10,0,1.63E-05
0.00E+00,-3.50E-09,2.58E-04
0.00E+00,3.60E-09,2.58E-04
-9.00E-10,7.30E-09,3.66E-05
-1.10E-09,-7.30E-09,3.66E-05
1.00E-09,7.30E-09,3.66E-05
1.00E-09,-7.40E-09,3.66E-05
-1.54E-08,1.45E-08,-3.68E-05
1.55E-08,1.45E-08,-3.67E-05
-1.55E-08,-1.45E-08,-3.67E-05
1.55E-08,-1.45E-08,-3.67E-05
-2.00E-10,-9.00E-10,-1.16E-05
-2.00E-10,9.00E-10,-1.16E-05
2.00E-10,-9.00E-10,-1.16E-05
2.00E-10,9.00E-10,-1.16E-05
1.15E-08,-9.40E-09,-2.56E-05
-1.15E-08,-9.40E-09,-2.56E-05
1.15E-08,9.50E-09,-2.56E-05
-1.15E-08,9.50E-09,-2.56E-05
1.14E-08,-1.37E-08,3.17E-05
1.14E-08,1.37E-08,3.17E-05
-1.14E-08,-1.37E-08,3.17E-05
-1.14E-08,1.37E-08,3.17E-05
1.00E-10,0.00E+00,-1.08E-05
1.00E-10,0.00E+00,-1.08E-05
-1.00E-10,0.00E+00,-1.08E-05
-1.00E-10,0.00E+00,-1.08E-05
1.00E-10,-1.00E-10,-4.51E-06
-1.00E-10,-1.00E-10,-4.51E-06
1.00E-10,1.00E-10,-4.51E-06
-1.00E-10,1.00E-10,-4.51E-06
2.00E-10,0.00E+00,3.79E-06
-2.00E-10,0,3.79E-06
-2.00E-10,0.00E+00,3.79E-06
2.00E-10,0.00E+00,3.79E-06
