X,Y,Z
-1.00E-10,3.12E-04,-2.00E-10
-2.00E-10,-1.28E-04,2.00E-10
-2.00E-10,-1.28E-04,-5.00E-10
2.00E-10,-4.66E-05,3.00E-10
1.00E-10,-4.66E-05,2.00E-10
-3.76E-05,1.47E-05,-1.00E-10
3.76E-05,1.47E-05,0.00E+00
3.76E-05,1.47E-05,1.00E-10
-3.76E-05,1.47E-05,2.00E-10
1.01E-06,2.64E-05,0.00E+00
-1.01E-06,2.64E-05,1.00E-10
-1.01E-06,2.64E-05,-2.00E-10
1.01E-06,2.64E-05,0.00E+00
-1.68E-07,-6.82E-06,0.00E+00
1.68E-07,-6.82E-06,-1.00E-10
1.68E-07,-6.82E-06,0.00E+00
-1.68E-07,-6.82E-06,0.00E+00
4.08E-05,-2.06E-05,-2.00E-10
-4.08E-05,-2.06E-05,0.00E+00
-4.08E-05,-2.06E-05,-1.00E-10
4.08E-05,-2.06E-05,2.00E-10
2.30E-05,-5.84E-06,2.00E-10
-2.30E-05,-5.84E-06,0.00E+00
-2.30E-05,-5.84E-06,0.00E+00
2.30E-05,-5.84E-06,-1.00E-10
-1.43E-06,1.36E-06,0.00E+00
1.43E-06,1.36E-06,0.00E+00
1.43E-06,1.36E-06,0.00E+00
-1.43E-06,1.36E-06,0.00E+00
8.72E-07,-2.66E-07,0.00E+00
-8.72E-07,-2.66E-07,-1.00E-10
-8.72E-07,-2.66E-07,0.00E+00
8.72E-07,-2.66E-07,-1.00E-10
-2.92E-07,8.39E-08,0.00E+00
2.92E-07,0.000000084,0.00E+00
-2.92E-07,8.39E-08,0.00E+00
2.92E-07,8.40E-08,0.00E+00
