X,Y,Z
0.0000058616,-0.0000018223,-0.0015549908
0.2386590501,0.2386209747,0.0004972295
-0.2386620434,-0.2386208372,0.0005379190
-0.2386133515,0.2385730843,0.0004935898
0.2386108203,-0.2385716643,0.0005363286
0.0124170056,-0.0739925849,-0.0000854010
-0.0741245240,0.0124102536,-0.0000164979
0.0741252214,-0.0124096147,-0.0001069047
-0.0124164450,0.0739925601,0.0000031540
0.0124086402,0.0739670374,-0.0000184283
-0.0740978854,-0.0124005669,-0.0000902165
0.0740985363,0.0124019453,-0.0000112176
-0.0124081546,-0.0739690268,-0.0000810229
0.0160400585,0.0048916924,0.0000170766
0.0049197464,0.0161025534,0.0000026815
-0.0049209487,-0.0161028060,0.0000055140
-0.0160402129,-0.0048905663,-0.0000065688
0.0160318790,-0.0048911113,-0.0000097616
0.0049201911,-0.0160941833,0.0000079098
-0.0049204696,0.0160932059,-0.0000000826
-0.0160327516,0.0048908611,0.0000159712
-0.0073107863,0.0000006682,-0.0000256446
0.0000005678,-0.0072938997,-0.0000292013
-0.0000012795,0.0072932316,-0.0000252262
0.0073112543,0.0000011574,-0.0000302562
0.0008539953,-0.0048199284,0.0000030705
-0.0048359553,0.0008621575,-0.0000072895
0.0048359871,-0.0008621594,0.0000044736
-0.0008538643,0.0048198866,-0.0000070978
0.0008528880,0.0048178406,-0.0000049834
-0.0048347699,-0.0008614842,0.0000024101
0.0048347509,0.0008614838,-0.0000068754
-0.0008528708,-0.0048178988,0.0000012311
-0.0004437052,-0.0000000037,-0.0000040451
0.0000003269,0.0004335496,0.0000001081
0.0004436473,0.0000002435,-0.0000051478
