X,Y,Z
-0.0000094475,-0.0000023473,-0.0000041239
-0.0930966159,-0.0931340069,-0.0001180525
0.0931502936,0.0930839638,-0.0001066639
-0.0930833801,0.0931496592,0.0001208276
0.0931372272,-0.0931034737,0.0001235837
-0.0041771021,0.0207913267,-0.0001871955
0.0208115017,-0.0041200957,0.0000628827
-0.0208227643,0.0041826892,0.0001170343
0.0040818404,-0.0208373121,-0.0001572943
0.0040878379,0.0208491579,-0.0003246781
-0.0208214175,-0.0041163700,0.0001254416
0.0208140807,0.0040942301,0.0001016240
-0.0041748951,-0.0207971522,0.0000058839
-0.0051443821,-0.0022601288,-0.0002084814
-0.0022521662,-0.0051604511,0.0003419033
0.0022561195,0.0051425465,0.0003560162
0.0051646296,0.0022497113,-0.0003550507
0.0051554866,-0.0022461601,0.0001019390
0.0022569285,-0.0051543514,-0.0001856144
-0.0022497537,0.0051615848,0.0001725513
-0.0051471575,0.0022620279,-0.0001919781
0.0000383578,-0.0018164479,0.0006390094
-0.0018087244,0.0000079999,-0.0005587569
0.0018231490,-0.0000414404,-0.0003756916
0.0000164108,0.0018140746,0.0004945529
-0.0003450477,0.0015952146,-0.0000138091
0.0015949179,-0.0003452432,0.0000221213
-0.0015950806,0.0003457539,0.0000182570
0.0003459065,-0.0015954273,-0.0000125650
0.0003445046,0.0015945109,-0.0000030096
-0.0015948284,-0.0003444181,-0.0000083291
0.0015943664,0.0003445622,0.0000070084
-0.0003450025,-0.0015943736,-0.0000104379
-0.0000021224,0.0001451919,0.0000150575
-0.0001454501,-0.0000011347,-0.0000042948
-0.0000030347,-0.0001451632,0.0000089185
