X,Y,Z
-1.00E-10,0.000311516,-2.00E-10
-2.00E-10,-0.000128214,2.00E-10
-2.00E-10,-0.000128214,-5.00E-10
2.00E-10,-4.66E-05,3.00E-10
1E-10,-4.66E-05,2.00E-10
-3.75624E-05,1.47E-05,-1.00E-10
3.75628E-05,1.47E-05,0.00E+00
3.76E-05,1.47E-05,1E-10
-3.76E-05,1.47E-05,2.00E-10
1.01E-06,2.64E-05,0
-1.01E-06,2.64E-05,1.00E-10
-1.01E-06,2.64E-05,-2.00E-10
1.01E-06,2.64E-05,0.00E+00
-1.68E-07,-6.82E-06,0
0.000000168,-6.82E-06,-1.00E-10
1.683E-07,-6.82E-06,0
-1.68E-07,-6.82E-06,0
4.08E-05,-2.06E-05,-2.00E-10
-4.08E-05,-2.06E-05,0
-4.08E-05,-2.06E-05,-1E-10
4.08E-05,-2.06E-05,2.00E-10
2.30E-05,-5.84E-06,2.00E-10
-2.30E-05,-5.84E-06,0
-2.29566E-05,-5.84E-06,0
2.30E-05,-5.84E-06,-1.00E-10
-0.000001434,1.36E-06,0
0.000001434,1.36E-06,0
1.4341E-06,1.36E-06,0
-1.4341E-06,1.36E-06,0
8.72E-07,-2.656E-07,0
-8.72E-07,-2.657E-07,-1E-10
-8.72E-07,-2.66E-07,0
8.72E-07,-2.657E-07,-1E-10
-2.92E-07,8.39E-08,0
2.92E-07,0.000000084,0
-2.92E-07,8.39E-08,0
2.92E-07,8.40E-08,0
