X,Y,Z
0.0006464692,-0.0002365633,0.0000210271
0.0056744870,-0.0034843772,2.2129231629
-0.0058728847,0.0048286095,-2.2129373515
0.0017332558,0.0026906765,-0.8939296903
-0.0013848996,-0.0039439458,0.8939060656
-0.0052061642,0.0005967173,-1.1085277571
-0.0006600897,0.0038020036,-0.5366483746
-0.0001923883,-0.0049384606,0.5366386102
0.0055056874,-0.0004351098,1.1085418998
0.0030444218,-0.0000527582,-1.0439270369
-0.0001956111,0.0043773401,0.3776453324
-0.0003511058,-0.0036293530,-0.3776605288
-0.0035931875,0.0001595790,1.0439234972
-0.0008653299,-0.0046866202,-0.0577377195
0.0048232967,0.0004773547,0.0368306923
-0.0043943915,-0.0007302486,-0.0368404321
0.0004344283,0.0049584831,0.0577403364
-0.0001599840,-0.0026409815,-0.1199216203
-0.0030108770,-0.0000007996,0.1118259691
0.0030201577,0.0000510720,-0.1118280169
0.0000226819,0.0027310644,0.1199202443
-0.0000734077,-0.0002075576,-0.2595401446
0.0005726758,0.0002886819,-0.1100069176
0.0001685559,0.0001713480,0.1100344506
0.0003152103,-0.0001571475,0.2595546155
-0.0000894338,0.0000501701,0.2952963899
0.0001211409,-0.0000612340,0.2349029852
-0.0000351118,0.0000007529,-0.2349052046
0.0000150990,0.0000465281,-0.2953000646
-0.0000135139,-0.0001010905,0.1826832086
-0.0001341605,-0.0000408461,0.0321574369
0.0001311827,0.0000454027,-0.0321590841
0.0000126555,0.0000777287,-0.1826865207
-0.0000091323,0.0000725728,-0.0011034111
0.0000788439,-0.0000075540,0.0003798062
0.0000040634,-0.0000751542,0.0011029599
