X,Y,Z
0.0000047526,-0.0000010320,-0.0010705326
0.2232113337,0.2232421395,0.0002958898
-0.2232132239,-0.2232403581,0.0004126809
-0.2231953858,0.2232233311,0.0002886846
0.2231967705,-0.2232190100,0.0004155564
0.0120531446,-0.0691722269,-0.0001468489
-0.0692632763,0.0119983230,0.0000913286
0.0692622368,-0.0120007993,-0.0001803282
-0.0120537069,0.0691711270,0.0000951393
0.0120269698,0.0692474651,0.0000658101
-0.0693418953,-0.0119781002,-0.0001574406
0.0693378511,0.0119771774,0.0000878529
-0.0120277957,-0.0692514481,-0.0001327444
0.0149399876,0.0044968380,0.0000349311
0.0045225765,0.0149958901,-0.0000049616
-0.0045224656,-0.0149966790,0.0000124463
-0.0149406645,-0.0044949596,-0.0000257773
0.0148953791,-0.0045302838,-0.0000279311
0.0045562850,-0.0149523308,0.0000125299
-0.0045553250,0.0149526734,-0.0000058570
-0.0148962936,0.0045301314,0.0000333114
-0.0070469478,-0.0000501753,-0.0000174693
-0.0000475569,-0.0070292241,-0.0000228560
0.0000499532,0.0070298397,-0.0000154529
0.0070463006,0.0000514883,-0.0000219812
0.0008161269,-0.0045070613,0.0000124636
-0.0045218323,0.0008233003,-0.0000183645
0.0045221297,-0.0008235139,0.0000162346
-0.0008161577,0.0045073655,-0.0000155005
0.0008113638,0.0044975777,-0.0000123853
-0.0045122878,-0.0008188424,0.0000135320
0.0045127158,0.0008190459,-0.0000169507
-0.0008111549,-0.0044974941,0.0000094439
-0.0004164446,-0.0000009312,-0.0000021051
0.0000011581,0.0004073561,0.0000044746
0.0004165425,0.0000010217,-0.0000034506
