X,Y,Z
-0.0000019821,-0.0000006352,-0.0000007481
-0.0914132519,-0.0914141634,-0.0000976097
0.0914133957,0.0914122738,-0.0000918899
-0.0914127758,0.0914138649,0.0000965322
0.0914129951,-0.0914117717,0.0000953261
-0.0033876715,0.0207847551,0.0000112127
0.0207850986,-0.0033874792,0.0000147175
-0.0207844345,0.0033879084,0.0000146770
0.0033878200,-0.0207849671,0.0000112380
0.0033875949,0.0207849680,-0.0000142072
-0.0207842346,-0.0033878883,-0.0000118991
0.0207851813,0.0033874859,-0.0000123438
-0.0033878990,-0.0207844207,-0.0000139292
-0.0053189407,-0.0022054047,0.0000032500
-0.0022051699,-0.0053189950,-0.0000006844
0.0022054060,0.0053189281,-0.0000010835
0.0053188827,0.0022052761,0.0000030895
0.0053189242,-0.0022053609,-0.0000008419
0.0022053619,-0.0053187544,-0.0000021482
-0.0022053237,0.0053190406,-0.0000015283
-0.0053188589,0.0022053729,-0.0000010879
-0.0000000792,-0.0019465433,-0.0000010624
-0.0019466147,0.0000000513,0.0000007902
0.0019462843,0.0000000832,0.0000012172
-0.0000000575,0.0019463526,-0.0000010233
-0.0003368826,0.0015772598,0.0000015184
0.0015773002,-0.0003368812,0.0000015651
-0.0015773194,0.0003369403,0.0000014535
0.0003369194,-0.0015773614,0.0000013316
0.0003369082,0.0015773071,-0.0000020071
-0.0015772198,-0.0003368534,-0.0000007487
0.0015773764,0.0003369242,-0.0000007973
-0.0003369038,-0.0015773138,-0.0000020997
0.0000000413,0.0001247320,-0.0000000065
-0.0001247155,0.0000000078,-0.0000001468
0.0000000119,-0.0001247195,0.0000000264
