X,Y,Z
1.00E-10,-0.000310151,2.00E-10
-3.00E-10,0.000138318,-2.00E-10
5.00E-10,0.000138319,2.00E-10
-2.00E-10,4.41E-05,-1.00E-10
0.00E+00,4.41E-05,-1.00E-10
3.37E-05,-1.53E-05,1.00E-10
-3.37E-05,-1.53E-05,0.00E+00
-3.37E-05,-1.53E-05,-1E-10
3.37E-05,-1.53E-05,-1.00E-10
-3.97E-06,-2.56E-05,0.00E+00
3.97E-06,-2.56E-05,-1.00E-10
3.97E-06,-2.56E-05,1.00E-10
-3.97E-06,-2.56E-05,0.00E+00
7.03E-07,6.40E-06,0.00E+00
-7.034E-07,6.40E-06,1.00E-10
-7.04E-07,6.40E-06,0.00E+00
7.04E-07,6.40E-06,0.00E+00
-2.16E-05,1.61E-05,2.00E-10
2.16E-05,1.61E-05,0.00E+00
2.16E-05,1.61E-05,0.00E+00
-2.16E-05,1.61E-05,-1.00E-10
-1.80E-05,6.54E-06,-1.00E-10
1.80E-05,6.54E-06,0.00E+00
1.80E-05,6.54E-06,0.00E+00
-1.80E-05,6.54E-06,1.00E-10
1.4272E-06,-1.38E-06,0.00E+00
-1.4272E-06,-1.38E-06,0.00E+00
-1.43E-06,-1.38E-06,0.00E+00
1.43E-06,-1.38E-06,0.00E+00
-7.64E-07,2.00E-07,0.00E+00
7.64E-07,2.00E-07,0.00E+00
7.64E-07,2.00E-07,0.00E+00
-7.64E-07,2.00E-07,0.00E+00
4.06E-07,-1.55E-07,0.00E+00
-4.06E-07,-1.552E-07,0
4.06E-07,-1.55E-07,0.00E+00
-4.06E-07,-1.55E-07,0
