X,Y,Z
0.0016590230,-0.0008601265,-0.0000011441
-0.0019009753,0.0013244217,0.0001196011
-0.0018582954,0.0013282229,-0.0001184846
0.0009200735,-0.0008535575,-0.0742077907
0.0008781409,-0.0008743152,0.0742072919
0.0014386820,0.0014014378,-0.1617938088
-0.0011901244,-0.0013526281,0.1617801733
-0.0011991922,-0.0013222353,-0.1617820732
0.0014214517,0.0013851188,0.1617958210
-0.0008764633,0.0006829619,-0.0132744892
-0.0006861930,0.0008781187,-0.0130746485
-0.0007168460,0.0008723326,0.0130732701
-0.0008565273,0.0006858591,0.0132760632
-0.0002976495,-0.0008100433,0.0248093763
0.0007224603,0.0003247091,-0.0248429614
0.0007365453,0.0003356090,0.0248426706
-0.0003214164,-0.0008239385,-0.0248094528
-0.0000487690,-0.0000049230,-0.0105827983
-0.0000234048,0.0000436882,-0.0106201065
-0.0000207428,0.0000484776,0.0106201811
-0.0000635040,-0.0000206245,0.0105829422
-0.0002211188,-0.0014417669,0.0020932105
0.0013721291,0.0002325771,-0.0020864138
0.0013621130,0.0002379018,0.0020864397
-0.0002216384,-0.0014378653,-0.0020930712
-0.0000057077,0.0000025587,0.0194552193
-0.0000146036,0.0000181823,-0.0194516621
-0.0000200753,0.0000221308,0.0194515801
-0.0000053029,0.0000004520,-0.0194551833
-0.0000012580,0.0000003892,0.0022685968
-0.0000033564,0.0000013464,0.0022451134
-0.0000005670,0.0000028587,-0.0022451934
-0.0000024502,-0.0000015638,-0.0022685806
-0.0000071637,-0.0000267628,0.0030514911
0.0000264837,0.0000087648,0.0030447167
-0.0000075766,-0.0000253914,-0.0030519752
