X,Y,Z
0.00E+00,0.00E+00,2.00E-10
0.00E+00,-1E-10,-1.00E-09
0.00E+00,1E-10,8.00E-10
0.00E+00,0.00E+00,1.80E-09
1.00E-10,0.00E+00,-1.90E-09
0.00E+00,1.00E-10,-6.13E-05
0.00E+00,1.00E-10,6.13E-05
0.00E+00,-1.00E-10,6.13E-05
0.00E+00,-1.00E-10,-6.13E-05
0.00E+00,0.00E+00,-3.01E-05
0.00E+00,0.00E+00,3.01E-05
0.00E+00,0.00E+00,3.01E-05
0.00E+00,-1.00E-10,-3.01E-05
0.00E+00,0.00E+00,-6.28E-05
0.00E+00,0.00E+00,6.28E-05
0.00E+00,0.00E+00,6.28E-05
0.00E+00,0.00E+00,-6.28E-05
0.00E+00,0.00E+00,-3.76E-05
0.00E+00,0.00E+00,3.76E-05
0.00E+00,0.00E+00,3.76E-05
0.00E+00,0.00E+00,-3.76E-05
0.00E+00,-1.00E-10,7.82E-05
-1.00E-10,-1.00E-10,-7.82E-05
0.00E+00,1.00E-10,-7.82E-05
0.00E+00,1.00E-10,7.82E-05
0.00E+00,0.00E+00,1.27E-05
0.00E+00,0.00E+00,-1.27E-05
0.00E+00,0.00E+00,-1.27E-05
0.00E+00,0.00E+00,1.27E-05
0.00E+00,0.00E+00,-8.84E-06
0.00E+00,0.00E+00,8.84E-06
0.00E+00,0.00E+00,8.84E-06
0.00E+00,0.00E+00,-8.84E-06
0.00E+00,0.00E+00,-4.30E-06
0.00E+00,0,4.30E-06
0.00E+00,0.00E+00,-4.30E-06
0.00E+00,0.00E+00,4.30E-06
