X,Y,Z
0.0000024738,-0.0000164570,-0.0001753460
1.0578834595,1.0534009467,0.0001698850
-1.0579167442,-1.0533914203,0.0000346712
-0.9594623135,0.9632288350,0.0001731658
0.9594887126,-0.9632143939,0.0001477998
-0.4570011732,0.0751296259,-0.0000371551
0.0747127377,-0.4522279511,0.0000190533
-0.0747229876,0.4522213917,0.0000089112
0.4570310864,-0.0751032593,0.0000162528
-0.4268526929,-0.0854706392,-0.0000181460
0.0854426226,0.4313769359,0.0000203554
-0.0854375627,-0.4313870707,0.0000583850
0.4268290793,0.0854973081,-0.0000550447
-0.0557673235,-0.1595269983,-0.0000860803
-0.1551299462,-0.0553551227,0.0000475431
0.1551393261,0.0553604828,0.0000147480
0.0557637109,0.1595165961,-0.0000945993
-0.0591518821,0.1502604985,-0.0001114844
-0.1541877907,0.0593490122,0.0000125217
0.1541800375,-0.0593468643,0.0000238243
0.0591564519,-0.1502707043,-0.0001093357
-0.0324599165,0.0180010026,0.0000387171
0.0180586592,-0.0324133944,-0.0001526312
-0.0180567901,0.0324187354,-0.0000727735
0.0324597584,-0.0180371461,0.0000594670
0.0084291695,-0.0126818391,0.0000040276
-0.0126156347,0.0084301876,-0.0000152271
0.0126156422,-0.0084304294,0.0000007340
-0.0084292784,0.0126819474,0.0000115942
0.0079557250,0.0126520557,0.0000260740
-0.0127397531,-0.0079709101,0.0000092103
0.0127391739,0.0079706109,0.0000050561
-0.0079558114,-0.0126523530,0.0000265675
0.0052713948,0.0000295348,-0.0000002574
0.0000553702,-0.0052715985,0.0000002383
-0.0052715907,-0.0000302412,0.0000029459
