X,Y,Z
0.0026024309,-0.0016878902,-0.0000009122
-0.0028805541,0.0023959222,0.0001288331
-0.0028547713,0.0024142278,-0.0001280874
0.0013809310,-0.0014590924,-0.0799146738
0.0013736769,-0.0014475139,0.0799142692
0.0022264872,0.0021678745,-0.1672957785
-0.0020058983,-0.0022795373,0.1672813897
-0.0020101451,-0.0022627156,-0.1672835024
0.0022075647,0.0021637357,0.1672977679
-0.0014090496,0.0011157032,-0.0131676545
-0.0011160862,0.0014496744,-0.0129596368
-0.0011149417,0.0014661243,0.0129582144
-0.0013903218,0.0011233934,0.0131693347
-0.0005237701,-0.0012361411,0.0256178693
0.0012164253,0.0004904201,-0.0256529338
0.0012361736,0.0005032792,0.0256527694
-0.0005342792,-0.0012583171,-0.0256180580
-0.0000631464,0.0000052086,-0.0111191425
-0.0000365450,0.0000568573,-0.0111575461
-0.0000412760,0.0000509755,0.0111575057
-0.0000683379,-0.0000034242,0.0111192204
-0.0003667301,-0.0022808031,0.0022217362
0.0022698663,0.0003770532,-0.0022146851
0.0022735428,0.0003802442,0.0022148215
-0.0003713800,-0.0022860120,-0.0022214422
-0.0000171156,0.0000180199,0.0201398256
-0.0000109274,0.0000202116,-0.0201359511
-0.0000136659,0.0000228206,0.0201358238
-0.0000180257,0.0000185060,-0.0201397708
-0.0000017404,0.0000016055,0.0022369966
-0.0000024311,0.0000027514,0.0022125406
-0.0000038967,0.0000023387,-0.0022125914
-0.0000026170,0.0000002024,-0.0022369214
-0.0000116851,-0.0000419764,0.0031828684
0.0000440251,0.0000138499,0.0031758017
-0.0000122372,-0.0000409513,-0.0031833732
