X,Y,Z
0.0001170661,-0.0000952996,-0.0000000774
-0.0000429514,0.0000368836,-0.0686860634
-0.0000480536,0.0000301989,0.0686853383
0.0000090345,-0.0000136586,-0.0000603450
0.0000003248,-0.0000001398,0.0000611130
0.0000152936,0.0000178525,-0.0169146201
-0.0000139142,-0.0000125464,-0.0169030100
-0.0000098262,-0.0000156204,0.0169029866
0.0000121332,0.0000171822,0.0169150452
-0.0000003767,-0.0000026896,0.0033173453
-0.0000024496,-0.0000021633,-0.0032927787
-0.0000060756,-0.0000014179,0.0032928219
0.0000003855,-0.0000007447,-0.0033174828
-0.0000064507,0.0000114670,0.0012635256
-0.0000112575,0.0000058824,0.0012729663
-0.0000130351,0.0000043090,-0.0012730988
-0.0000060843,0.0000120123,-0.0012633523
-0.0000004519,0.0000026011,0.0065591422
0.0000016588,-0.0000008452,-0.0065608784
0.0000029032,-0.0000021083,0.0065609845
0.0000001276,0.0000017596,-0.0065591500
0.0000008686,0.0000016014,-0.0078311019
0.0000019009,0.0000000908,-0.0078427174
0.0000013154,0.0000007972,0.0078426317
0.0000026098,0.0000018786,0.0078309026
-0.0000003358,0.0000012931,0.0057117317
-0.0000021873,0.0000000095,0.0057087102
-0.0000013120,-0.0000008178,-0.0057087061
-0.0000005992,0.0000015934,-0.0057117723
0.0000000851,-0.0000001204,-0.0014050230
-0.0000000267,0.0000005490,0.0013965593
-0.0000003388,0.0000004554,-0.0013966135
0.0000000623,0.0000000085,0.0014049871
-0.0000004773,-0.0000004742,0.0001241469
0.0000003298,0.0000003125,-0.0001241374
-0.0000005009,-0.0000003339,-0.0001241486
