X,Y,Z
-0.0002071796,0.0001496976,0.0000000538
0.0002197277,-0.0001037970,0.0678330746
0.0002876141,-0.0001121388,-0.0678325451
-0.0003040059,0.0000752464,0.0000588807
-0.0002243437,0.0000352681,-0.0000595458
-0.0003483832,0.0001354063,0.0171187686
0.0000069921,0.0004769449,0.0171079446
-0.0002340108,0.0001877889,-0.0171080319
-0.0003301498,0.0001836429,-0.0171184051
0.0006044119,0.0004235854,-0.0034188930
0.0005579543,-0.0000959393,0.0033917849
0.0004143361,-0.0001506093,-0.0033920679
0.0004601031,0.0005353353,0.0034192354
0.0005489012,-0.0002248320,-0.0012575372
-0.0000556731,-0.0004711832,-0.0012698283
0.0002037193,-0.0004736133,0.0012697566
0.0004480695,-0.0001185551,0.0012577013
0.0001060772,-0.0003555124,-0.0068747552
-0.0005485814,0.0000443937,0.0068786138
-0.0004999288,0.0001644795,-0.0068789559
0.0002405559,-0.0005153026,0.0068749396
-0.0003042612,0.0002531456,0.0078248270
-0.0003573124,-0.0002095586,0.0078360913
-0.0003941896,0.0000202690,-0.0078345427
-0.0002714922,0.0001738197,-0.0078265336
-0.0000057721,-0.0000024105,-0.0057482343
0.0000190115,-0.0000028525,-0.0057451189
0.0000277833,-0.0000039101,0.0057451228
-0.0000054093,0.0000044671,0.0057482077
0.0000062640,-0.0000165944,0.0014410560
0.0000000806,-0.0000153871,-0.0014318821
0.0000058291,-0.0000244802,0.0014318780
0.0000254505,-0.0000260442,-0.0014410542
-0.0000155054,0.0000031965,-0.0001274650
-0.0000297341,0.0000341294,0.0001272391
-0.0000241254,-0.0000034579,0.0001274340
